iter	Passed	Remaining
767	2316	699
768	2318	696
769	2320	693
770	2324	690
771	2326	687
772	2328	683
773	2330	680
774	2332	677
775	2334	673
776	2339	671
777	2341	668
778	2344	665
779	2346	661
780	2348	658
781	2350	655
782	2354	652
783	2356	649
784	2359	646
785	2361	642
786	2363	639
787	2365	636
788	2369	633
789	2372	630
790	2374	627
791	2376	624
792	2378	620
793	2380	617
794	2384	614
795	2386	611
796	2389	608
797	2391	605
798	2394	602
799	2397	599
800	2400	596
801	2402	593
802	2404	590
803	2407	586
804	2409	583
805	2412	580
806	2415	577
807	2417	574
808	2419	571
809	2421	568
810	2424	564
811	2426	561
812	2429	558
813	2431	555
814	2434	552
815	2436	549
816	2438	546
817	2440	542
818	2443	540
819	2445	536
820	2448	533
821	2450	530
822	2453	527
823	2455	524
824	2458	521
825	2461	518
826	2463	515
827	2465	512
828	2467	509
829	2470	505
830	2474	503
831	2476	500
832	2479	496
833	2480	493
834	2483	490
835	2485	487
836	2488	484
837	2491	481
838	2493	478
839	2495	475
840	2497	472
841	2500	469
842	2503	466
843	2505	463
844	2507	459
845	2509	456
846	2512	453
847	2514	450
848	2517	447
849	2520	444
850	2522	441
851	2524	438
852	2526	435
853	2531	432
854	2534	429
855	2536	426
856	2538	423
857	2540	420
858	2543	417
859	2549	414
860	2551	411
861	2554	408
862	2559	406
863	2570	404
864	2574	401
865	2580	399
866	2582	396
867	2584	393
868	2587	389
869	2589	386
870	2592	383
871	2595	380
872	2597	377
873	2600	374
874	2603	371
875	2605	368
876	2609	365
877	2611	362
878	2614	359
879	2616	356
880	2619	353
881	2623	350
882	2626	347
883	2628	344
884	2631	341
885	2634	338
886	2639	336
887	2642	333
888	2644	330
889	2647	327
890	2649	324
891	2657	321
892	2660	318
893	2662	315
894	2665	312
895	2668	309
896	2671	306
897	2675	303
898	2679	300
899	2683	298
900	2685	295
901	2688	292
902	2690	289
903	2693	286
904	2697	283
905	2700	280
906	2706	277
907	2708	274
908	2711	271
909	2715	268
910	2717	265
911	2720	262
912	2722	259
913	2725	256
914	2728	253
915	2731	250
916	2733	247
917	2735	244
918	2737	241
919	2740	238
920	2743	235
921	2745	232
922	2747	229
923	2749	226
924	2752	223
925	2754	220
926	2757	217
927	2759	214
928	2762	211
929	2764	208
930	2767	205
931	2769	202
932	2772	199
933	2774	196
934	2776	193
935	2779	190
936	2781	187
937	2784	184
938	2787	181
939	2790	178
940	2792	175
941	2794	172
942	2797	169
943	2799	166
944	2802	163
945	2804	160
946	2806	157
947	2808	154
948	2811	151
949	2813	148
950	2815	145
951	2818	142
952	2820	139
953	2822	136
954	2824	133
955	2827	130
956	2829	127
957	2832	124
958	2834	121
959	2836	118
960	2838	115
961	2840	112
962	2842	109
963	2847	106
964	2849	103
965	2851	100
966	2853	97
967	2855	94
968	2857	91
969	2861	88
970	2864	85
971	2866	82
972	2869	79
973	2872	76
974	2878	73
975	2880	70
976	2883	67
977	2885	64
978	2887	61
979	2892	59
980	2894	56
981	2896	53
982	2898	50
983	2901	47
984	2903	44
985	2906	41
986	2908	38
987	2910	35
988	2913	32
989	2915	29
990	2917	26
991	2920	23
992	2923	20
993	2925	17
994	2927	14
995	2929	11
996	2932	8
997	2934	5
998	2937	2
999	2939	0
